id,anomalyID,srcIP,srcPort,dstIP,dstPort,taxonomy,heuristic,distance,nbDetectors,label
269,67,0,0,193.242.150.232,59505,ntscTCPRSTACKrp,,-0.09333,2,suspicious
268,68,133.229.53.2,0,49.184.157.35,80,point_to_point,,-0.09333,2,suspicious
219,115,0,53,163.194.158.248,0,rflatDNS,,-0.26888,2,suspicious
279,103,0,0,203.76.76.183,0,ntscICecrqICecrqdurmterp,,-0.379151,1,suspicious
18,18,0,0,163.194.93.30,0,icmp_error,20,-0.495735,1,notice
33,185,0,0,163.194.157.192,0,mptp,,0.0387,3,anomalous
32,176,0,443,163.194.157.26,0,mptp,,0.0387,3,anomalous
31,168,0,443,163.194.157.64,0,mptp,,0.0387,3,anomalous
39,180,0,443,163.194.72.20,0,mptp,,0.1554,5,anomalous
40,146,0,443,163.194.120.151,0,mptp,,0.4324,6,anomalous
43,182,0,443,163.194.71.163,0,mptp,,0.4324,6,anomalous
41,147,0,443,163.194.70.8,0,mptp,,0.4324,6,anomalous
42,161,0,443,163.194.10.45,0,mptp,,0.4324,6,anomalous
38,144,0,22,218.91.56.99,0,mptp,,0.03705,5,anomalous
37,186,0,0,203.76.65.176,443,mptp,,0.09373,4,anomalous
44,177,0,443,203.76.77.153,0,mptp,,0.46928,7,anomalous
46,184,0,443,163.194.157.36,0,mptp,,0.46928,7,anomalous
45,177,0,53,203.76.77.153,0,mptp,,0.46928,7,anomalous
47,179,0,443,163.194.144.83,0,mptp,,0.60665,10,anomalous
35,126,0,53,203.76.72.204,0,mptp,,-0.01845,4,suspicious
36,126,0,0,203.76.72.204,53,mptp,,-0.01845,4,suspicious
34,0,0,0,162.133.93.243,443,mptp,,-0.07829,4,suspicious
29,106,0,443,202.6.207.126,0,mptp,,-0.08844,3,suspicious
30,106,0,53,202.6.207.126,0,mptp,,-0.08844,3,suspicious
13,107,0,30303,203.76.76.255,0,mptp,,-0.26888,2,suspicious
14,107,157.233.223.73,32766,203.76.76.255,0,mptp,,-0.26888,2,suspicious
15,108,0,0,133.251.140.122,50356,mptp,,-0.26888,2,suspicious
27,53,0,25,121.107.235.239,0,mptp,,-0.162286,3,suspicious
28,55,0,6379,39.18.193.161,0,mptp,,-0.162286,3,suspicious
25,132,0,0,38.74.142.14,443,mptp,,-0.229724,2,suspicious
24,131,0,0,202.186.164.187,43790,mptp,,-0.229724,2,suspicious
